name,location,team,division,wins,losses,era,games_played,games_started,quality_starts,complete_games,shutouts,saves,holds,blown_saves,innings_pitched,total_batters_faced,hits,runs,earned_runs,home_runs,walks,intentional_walks,hbp,wild_pitches,balks,strikeouts
MacKenzie Gore,Washington,Nationals,NL East,10,12,3.9,32,32,11,0,0,0,0,0,166.1,731,171,93,72,15,65,0,11,14,0,181
Charlie Morton,Atlanta,Braves,NL East,8,10,4.19,30,30,12,0,0,0,0,0,165.1,701,154,85,77,23,65,1,18,2,1,167
Jameson Taillon,Chicago,Cubs,NL Central,12,8,3.27,28,28,16,0,0,0,0,0,165.1,675,154,67,60,21,33,0,1,4,2,125
Austin Gomber,Colorado,Rockies,NL West,5,12,4.75,30,30,12,0,0,0,0,0,165,696,178,89,87,30,38,0,1,3,0,116
Brayan Bello,Boston,Red Sox,AL East,14,8,4.49,30,30,10,0,0,0,0,0,162.1,702,157,84,81,19,64,0,11,6,1,153
Ryan Feltner,Colorado,Rockies,NL West,3,10,4.49,30,30,13,0,0,0,0,0,162.1,692,165,94,81,20,52,0,7,4,0,138
Andrew Heaney,Texas,Rangers,AL West,5,14,4.28,32,31,7,0,0,0,0,0,160,693,159,84,76,23,41,1,12,2,0,159
Chris Flexen,Chicago,White Sox,AL Central,3,15,4.95,33,30,10,0,0,0,0,0,160,707,180,95,88,24,63,1,2,4,2,123
Zack Littell,Tampa Bay,Rays,AL East,8,10,3.63,29,29,10,0,0,0,0,0,156.1,656,164,68,63,22,31,0,5,0,0,141
Marcus Stroman,New York,Yankees,AL East,10,9,4.31,30,29,9,0,0,1,0,0,154.2,675,167,81,74,19,60,0,8,2,0,113
Luis Gil,New York,Yankees,AL East,15,7,3.5,29,29,10,0,0,0,0,0,151.2,637,104,60,59,18,77,0,8,6,2,171
Mitch Spence,Sacramento,Athletics,AL West,8,10,4.58,35,24,4,0,0,0,1,0,151.1,651,165,79,77,20,44,0,6,8,1,126
Ben Lively,Cleveland,Guardians,AL Central,13,10,3.81,29,29,9,0,0,0,0,0,151,632,139,67,64,23,49,0,5,2,1,118
Mitchell Parker,Washington,Nationals,NL East,7,10,4.29,29,29,11,0,0,0,0,0,151,646,154,82,72,18,43,0,2,7,0,133
Ryne Nelson,Arizona,Diamondbacks,NL West,10,6,4.24,28,25,12,0,0,1,0,0,150.2,630,155,73,71,17,34,2,5,4,0,126
Ranger Suárez,Philadelphia,Phillies,NL East,12,8,3.46,27,27,11,1,1,0,0,0,150.2,626,140,63,58,14,41,1,5,1,2,145
Hunter Greene,Cincinnati,Reds,NL Central,9,5,2.75,26,26,13,0,0,0,0,0,150.1,611,96,47,46,12,57,0,19,7,1,169
Cal Quantrill,Colorado,Rockies,NL West,8,11,4.98,29,29,12,0,0,0,0,0,148.1,656,156,83,82,23,69,0,11,6,1,110
Zac Gallen,Arizona,Diamondbacks,NL West,14,6,3.65,28,28,12,0,0,0,0,0,148,621,133,62,60,13,54,0,4,5,0,156
Javier Assad,Chicago,Cubs,NL Central,7,6,3.73,29,29,6,0,0,0,0,0,147,638,143,64,61,20,63,0,5,5,0,124
Matt Waldron,San Diego,Padres,NL West,7,11,4.91,27,26,10,0,0,0,0,0,146.2,625,145,84,80,21,40,0,11,5,1,133
Garrett Crochet,Chicago,White Sox,AL Central,6,12,3.58,32,32,11,0,0,0,0,0,146,595,123,61,58,18,33,0,5,3,1,209
Nick Pivetta,Boston,Red Sox,AL East,6,12,4.14,27,26,11,0,0,0,0,0,145.2,595,128,70,67,28,36,1,1,4,0,172
Spencer Arrighetti,Houston,Astros,AL West,7,13,4.53,29,28,10,0,0,0,0,0,145,632,139,80,73,21,65,0,7,3,0,171
Bailey Falter,Pittsburgh,Pirates,NL Central,8,9,4.43,28,28,8,0,0,0,0,0,142.1,589,138,72,70,17,45,0,0,0,0,97
Nick Martinez,Cincinnati,Reds,NL Central,10,7,3.1,42,16,6,1,0,0,6,0,142.1,570,128,56,49,13,18,0,5,4,0,116
Gavin Stone,Los Angeles,Dodgers,NL West,11,5,3.53,25,25,10,1,1,0,0,0,140.1,580,133,55,55,18,37,0,2,9,0,116
Tobias Myers,Milwaukee,Brewers,NL Central,9,6,3,27,25,7,0,0,0,0,0,138,569,126,52,46,18,36,0,5,4,5,127
Taj Bradley,Tampa Bay,Rays,AL East,8,11,4.11,25,25,10,0,0,0,0,0,138,578,122,68,63,22,47,0,3,4,0,154
Andrew Abbott,Cincinnati,Reds,NL Central,10,10,3.72,25,25,9,0,0,0,0,0,138,586,127,60,57,25,52,1,2,5,0,114
Reynaldo López,Atlanta,Braves,NL East,8,5,1.99,26,25,14,0,0,0,1,0,135.2,543,108,32,30,10,42,0,2,2,1,148
Luis L. Ortiz,Pittsburgh,Pirates,NL Central,7,6,3.32,37,15,7,0,0,1,1,2,135.2,556,109,56,50,16,42,3,9,2,1,107
Joe Ryan,Minnesota,Twins,AL Central,7,7,3.6,23,23,13,0,0,0,0,0,135,538,110,59,54,19,23,0,5,2,1,147
Justin Steele,Chicago,Cubs,NL Central,5,5,3.07,24,24,11,1,0,0,0,0,134.2,555,111,54,46,12,37,0,4,1,0,135
