name,location,team,division,games_played,at_bats,plate_appearances,hits,singles,doubles,triples,home_runs,runs_scored,rbi,walks,intentional_walks,strikeouts,hbp,sac_fly,sac_hit,gdp,stolen_bases,caught_stealing,batting_average
Austin Hedges,Cleveland,Guardians,AL Central,66,132,146,20,15,3,0,2,12,15,6,0,50,3,2,3,2,2,0,0.152
Joey Loperfido,Toronto,Blue Jays,AL East,43,137,144,27,14,8,3,2,13,9,6,0,52,1,0,0,2,2,1,0.197
Jonathan Aranda,Tampa Bay,Rays,AL East,44,128,143,30,17,7,0,6,22,14,12,0,32,2,1,0,2,0,0,0.234
Andruw Monasterio,Milwaukee,Brewers,NL Central,59,125,142,26,20,5,0,1,14,16,16,0,40,1,0,0,3,6,2,0.208
Danny Mendick,Chicago,White Sox,AL Central,47,132,141,26,16,7,0,3,13,8,6,0,35,2,0,1,3,6,0,0.197
Dylan Carlson,St. Louis,Cardinals,NL Central,59,121,138,24,19,5,0,0,12,11,12,0,37,2,3,0,2,0,1,0.198
Gio Urshela,Atlanta,Braves,NL East,36,132,136,35,22,9,0,4,9,15,4,0,23,0,0,0,1,0,0,0.265
Darell Hernaiz,Sacramento,Athletics,AL West,48,120,135,23,19,3,0,1,8,12,11,0,27,1,2,1,4,1,1,0.192
J.D. Davis,Sacramento,Athletics,AL West,39,123,135,29,21,4,0,4,12,5,9,0,30,3,0,0,3,0,0,0.236
Dairon Blanco,Kansas City,Royals,AL Central,88,120,132,31,23,4,0,4,37,13,8,0,32,1,1,1,2,31,7,0.258
Curtis Mead,Tampa Bay,Rays,AL East,38,122,132,29,25,3,0,1,10,7,6,0,30,2,1,0,2,2,0,0.238
Andrés Chaparro,Washington,Nationals,NL East,33,121,132,26,10,12,0,4,12,15,7,0,24,4,0,0,3,1,1,0.215
Dylan Crews,Washington,Nationals,NL East,31,119,132,26,17,5,1,3,12,8,11,0,26,1,1,0,4,12,3,0.218
Cavan Biggio,Toronto,Blue Jays,AL East,44,110,131,22,16,4,0,2,15,9,14,0,42,6,0,0,1,2,0,0.2
Luis Torrens,New York,Mets,NL East,48,118,130,27,16,8,0,3,14,15,9,0,28,2,1,0,5,0,1,0.229
Riley Adams,Washington,Nationals,NL East,41,116,130,26,18,5,1,2,10,8,10,1,35,2,2,0,4,1,0,0.224
Grant McCray,San Francisco,Giants,NL West,37,124,130,25,15,3,2,5,13,10,6,0,56,0,0,0,3,5,0,0.202
Jesse Winker,New York,Mets,NL East,44,115,129,28,20,5,0,3,12,13,10,0,22,3,1,0,3,0,0,0.243
